2026-03-28T16:46:49.461Z DEBUG RegistrationParameters: port=28196
2026-03-28T16:46:49.462Z DEBUG RegistrationParameters: pluginUUID=a00a44cea0effefbdf7a3f9a6dbc62d2
2026-03-28T16:46:49.463Z DEBUG RegistrationParameters: registerEvent=registerPlugin
2026-03-28T16:46:49.463Z DEBUG RegistrationParameters: info={"application":{"font":"Segoe UI","language":"en","platform":"windows","platformVersion":"10.0.26200","version":"7.3.1.22604"},"colors":{"buttonMouseOverBackgroundColor":"#464646FF","buttonPressedBackgroundColor":"#303030FF","buttonPressedBorderColor":"#646464FF","buttonPressedTextColor":"#969696FF","highlightColor":"#0078FFFF"},"devicePixelRatio":1,"devices":[{"id":"c886b04bfb7b5d708d695e5b92e8c88d","name":"Stream Deck","size":{"columns":5,"rows":3},"type":0}],"plugin":{"uuid":"com.snake.twitch-controller","version":"1.0.0.0"}}
2026-03-28T16:46:49.474Z INFO  Connected to Twitch controller server
2026-03-28T16:46:51.095Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
2026-03-28T16:46:51.170Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
2026-03-28T16:46:55.671Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/f2683fc9-1c2a-4b85-9c38-487aeaa0357f-profile_image-70x70.png
2026-03-28T16:46:55.673Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/f2683fc9-1c2a-4b85-9c38-487aeaa0357f-profile_image-70x70.png
2026-03-28T16:46:56.843Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/7a62328b-023f-422e-9388-686e7bfd4f1a-profile_image-70x70.png
2026-03-28T16:46:56.844Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/7a62328b-023f-422e-9388-686e7bfd4f1a-profile_image-70x70.png
2026-03-28T16:46:57.889Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
2026-03-28T16:46:57.890Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
2026-03-28T16:48:33.485Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/f2683fc9-1c2a-4b85-9c38-487aeaa0357f-profile_image-70x70.png
2026-03-28T16:48:33.487Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/f2683fc9-1c2a-4b85-9c38-487aeaa0357f-profile_image-70x70.png
2026-03-28T16:48:34.267Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/7a62328b-023f-422e-9388-686e7bfd4f1a-profile_image-70x70.png
2026-03-28T16:48:34.268Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/7a62328b-023f-422e-9388-686e7bfd4f1a-profile_image-70x70.png
2026-03-28T16:48:35.698Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
2026-03-28T16:48:35.699Z INFO  Fetching avatar: https://static-cdn.jtvnw.net/jtv_user_pictures/09213338-43a2-415f-af60-2cfbbe770d2b-profile_image-70x70.png
